Jugador,market_value,matches_played,Acciones_que_crean_tiros,Toques_en_area_rival,Pases_recibidos,Acarreos_ultimo_tercio,days_left_on_contract,xAG,Pases_progresivos,npxG,Regates_exitosos,Pases_al_hueco,Pases_progresivos_recibidos,Perdida_balon,Veces_que_fue_barrido_regate,Malos_controles,Pases_fuera_de_juego,Faltas_cometidas,Edad_c,Edad_c2,GK,CB,WB,LW,RW,FW,market_value_num,target_log,Nacionalidad
Thierry Correia,3.0,11,1.4545454545454546,1.0909090909090908,26.636363636363637,0.8181818181818182,304,0.02727272727272728,4.0,0.02727272727272728,0.7272727272727273,0.0,4.363636363636363,0.0,1.0909090909090908,1.5454545454545454,0.09090909090909091,1.3636363636363635,-0.5574357477700964,0.31073461289200655,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.3862943611198906,Portugal
Thijs Dallinga,12.0,31,0.8709677419354839,2.096774193548387,11.064516129032258,0.1935483870967742,1035,0.016129032258064516,0.5483870967741935,0.132258064516129,0.06451612903225806,0.0,2.7096774193548385,0.7096774193548387,0.2903225806451613,1.3548387096774193,0.0,0.7741935483870968,-1.4040110902358514,1.971247141505264,0.0,0.0,0.0,0.016129032258064516,0.0,0.8709677419354839,12.0,2.5649493574615367,Netherlands
Thilo Kehrer,20.0,27,0.9629629629629629,0.6296296296296297,52.55555555555556,0.2962962962962963,1035,0.007407407407407408,5.148148148148148,0.05925925925925926,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.2222222222222222,0.1111111111111111,0.8518518518518519,2.4398245262025036,5.952743718659271,0.0,1.0,0.0,0.0,0.0,0.0,20.0,3.044522437723423,Germany
Thomas Delaine,0.6,2,0.0,0.0,1.0,0.5,669,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,6.817906717983323,46.48385201512213,0.0,0.0,0.5,0.0,0.0,0.0,0.6,0.4700036292457356,France
Thomas Kristensen,14.0,24,0.7083333333333334,0.5833333333333334,28.875,0.5416666666666666,1400,0.016666666666666666,3.1666666666666665,0.03333333333333333,0.4166666666666667,0.041666666666666664,0.7916666666666666,0.375,0.125,0.6666666666666666,0.041666666666666664,1.2916666666666667,-2.8615453368111936,8.188441714625888,0.0,0.7291666666666666,0.020833333333333332,0.0,0.0,0.0,14.0,2.70805020110221,Denmark
Thomas Lemar,5.0,5,0.8,0.2,12.4,0.8,304,0.04,1.6,0.04,0.0,0.0,0.8,0.2,0.4,0.2,0.0,0.2,3.297358772777848,10.872574876415035,0.0,0.0,0.0,0.1,0.0,0.0,5.0,1.791759469228055,France
Thomas Meunier,2.0,30,1.2333333333333334,1.9333333333333333,37.4,1.6333333333333333,304,0.016666666666666666,4.533333333333333,0.060000000000000005,0.4666666666666667,0.06666666666666667,4.933333333333334,0.36666666666666664,0.43333333333333335,0.8,0.0,0.9,7.483660142640861,56.00516913055144,0.0,0.08333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.0,2.0,1.0986122886681098,Belgium
Thomas Partey,14.0,35,1.7714285714285714,0.9428571428571428,44.6,1.2,304,0.054285714285714284,5.285714285714286,0.06571428571428571,0.6857142857142857,0.17142857142857143,1.3714285714285714,0.4857142857142857,0.2571428571428571,0.6857142857142857,0.17142857142857143,1.2857142857142858,5.75489301935319,33.118793664200076,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,14.0,2.70805020110221,Ghana
Tiago Gabriel,1.0,2,0.5,0.0,16.0,0.0,669,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-5.820449446400236,33.87763175810081,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6931471805599453,Portugal
Tiago Santos,15.0,7,2.2857142857142856,3.0,29.428571428571427,2.4285714285714284,1400,0.08571428571428572,2.4285714285714284,0.05714285714285715,1.7142857142857142,0.0,6.142857142857143,0.42857142857142855,1.1428571428571428,1.8571428571428572,0.0,0.8571428571428571,-3.990312460098867,15.92259352922027,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,15.0,2.772588722239781,Portugal
