Jugador,Nacionalidad,Posicion,Edad,Dia_partido,Goles,Tiros Totales,xG,npxG,xAG,xAG,Acciones_que_crean_tiros,Pases_intentados,Pases_intentados,Pases_intentados,Pases_progresivos,Pases_progresivos,Regates_exitosos,Regates_exitosos,Pases_medios_completados,Pases_largos_completados,xAG,xAG,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_completados,Pases_completados,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,%_de_regates_exitosos,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Centros,Duelos_aereos_ganados,%_de_duelos_aereos_ganados,market_value,contract_date
Odsonne Edouard,fr FRA,"FW,AM",26-215,"Sunday August 18, 2024",0,1,0.0,0.0,0.0,0.0,1,12,12,12,1,1,0,0,2,0,0.0,0.0,0.0,0,12,0,0,0,7,7,7,0,0,0,6,2,,0,0,2,1,9,1,1,0,0,0.0,€8.00m,30.06.2026
Eberechi Eze,eng ENG,"AM,LM",26-050,"Sunday August 18, 2024",0,7,0.4,0.4,0.0,0.0,6,43,43,43,5,5,2,2,10,0,0.0,0.0,0.1,5,38,3,1,0,31,31,31,2,0,0,27,5,33.3,4,4,2,1,43,7,0,0,1,33.3,€55.00m,30.06.2027
Daichi Kamada,jp JPN,AM,28-013,"Sunday August 18, 2024",0,0,0.0,0.0,0.1,0.1,3,28,28,28,3,3,1,1,7,1,0.1,0.1,0.1,2,28,0,0,0,23,23,23,0,2,0,17,2,33.3,2,3,2,0,27,5,4,0,0,0.0,€12.00m,30.06.2026
Jordan Ayew,gh GHA,"FW,AM",32-342,"Sunday August 18, 2024",0,1,0.5,0.5,0.0,0.0,1,10,10,10,0,0,0,0,4,1,0.0,0.0,0.0,0,8,2,0,1,8,8,8,0,0,0,5,1,,0,0,0,1,9,1,1,1,1,50.0,€6.00m,30.06.2027
Will Hughes,eng ENG,CM,29-123,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,3,49,49,49,4,4,0,0,17,2,0.0,0.0,0.0,4,48,1,0,1,43,43,43,0,0,0,16,2,,0,1,1,0,39,2,2,1,0,,€7.00m,30.06.2027
Cheick Doucoure,ml MLI,CM,24-223,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,0,10,10,10,1,1,0,0,3,0,0.0,0.0,0.0,0,10,0,0,0,8,8,8,0,0,0,1,0,,0,0,0,0,8,0,0,0,0,,€25.00m,30.06.2029
Adam Wharton,eng ENG,CM,20-077,"Sunday August 18, 2024",0,3,0.1,0.1,0.0,0.0,0,35,35,35,4,4,0,0,14,1,0.0,0.0,0.0,1,32,3,0,4,24,24,24,0,1,0,16,1,0.0,1,2,0,0,31,0,0,4,0,0.0,€45.00m,30.06.2029
Jefferson Lerma,co COL,CM,29-298,"Sunday August 18, 2024",0,0,0.0,0.0,0.5,0.5,1,22,22,22,1,1,0,0,9,3,0.5,0.5,0.3,3,22,0,1,0,20,20,20,0,0,0,1,0,,0,0,0,0,19,1,0,0,1,100.0,€10.00m,30.06.2026
Tyrick Mitchell,eng ENG,"WB,LB",24-352,"Sunday August 18, 2024",0,1,0.1,0.1,0.1,0.1,5,49,49,49,2,2,0,0,10,2,0.1,0.1,0.0,4,42,7,0,5,39,39,39,0,6,1,17,2,0.0,2,2,1,1,33,4,0,5,0,,€25.00m,30.06.2027
Daniel Munoz,co COL,"WB,RB",28-084,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,1,55,55,55,1,1,0,0,13,0,0.0,0.0,0.0,2,42,13,0,2,42,42,42,0,1,0,19,3,0.0,3,0,1,0,36,7,2,2,3,50.0,€25.00m,30.06.2028
Marc Guehi,eng ENG,CB,24-036,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,1,45,45,45,4,4,0,0,17,4,0.0,0.0,0.0,3,43,1,0,0,42,42,42,1,9,0,6,0,,0,2,0,0,35,0,1,0,4,100.0,€45.00m,30.06.2026
Joachim Andersen,dk DEN,CB,28-079,"Sunday August 18, 2024",0,1,0.0,0.0,0.0,0.0,1,83,83,83,4,4,0,0,31,9,0.0,0.0,0.0,9,81,2,0,1,61,61,61,0,7,0,5,0,,0,1,0,1,67,1,2,1,2,100.0,€27.00m,30.06.2029
Chris Richards,us USA,CB,24-143,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,0,41,41,41,0,0,0,0,12,3,0.0,0.0,0.0,1,39,2,0,0,37,37,37,0,2,0,3,0,,0,0,0,0,30,0,2,0,1,16.7,€14.00m,30.06.2027
Ismaila Sarr,sn SEN,RM,26-175,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,0,2,2,2,0,0,0,0,1,0,0.0,0.0,0.0,0,2,0,0,0,2,2,2,0,0,0,1,0,,0,0,0,0,1,1,0,0,0,,€25.00m,30.06.2029
Dean Henderson,eng ENG,GK,27-159,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,0,25,25,25,0,0,0,0,4,3,0.0,0.0,0.0,0,15,10,0,0,16,16,16,0,1,0,0,0,,0,0,0,0,10,0,0,0,0,,€20.00m,30.06.2028
Nicolas Jackson,sn SEN,FW,23-059,"Sunday August 18, 2024",0,1,0.5,0.5,0.2,0.2,3,16,16,16,2,2,0,0,5,2,0.2,0.2,0.1,2,14,2,0,0,11,11,11,0,0,0,12,4,,0,0,1,0,16,3,2,0,0,0.0,€50.00m,30.06.2033
Marc Guiu,es ESP,FW,18-227,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,0,4,4,4,0,0,0,0,0,0,0.0,0.0,0.0,0,3,1,0,0,3,3,3,0,0,0,2,0,0.0,1,0,0,0,3,0,0,0,0,,€8.00m,30.06.2026
Christopher Nkunku,fr FRA,LW,26-278,"Sunday August 18, 2024",0,1,0.1,0.1,0.0,0.0,2,26,26,26,2,2,0,0,7,1,0.0,0.0,0.1,2,26,0,0,0,26,26,26,0,0,0,18,5,0.0,3,0,1,1,25,5,2,0,1,100.0,€35.00m,30.06.2029
Pedro Neto,pt POR,LW,24-162,"Sunday August 18, 2024",0,1,0.0,0.0,0.2,0.2,2,19,19,19,0,0,1,1,5,0,0.2,0.2,0.2,1,19,0,0,3,17,17,17,0,0,0,14,3,50.0,1,0,2,0,22,1,0,3,0,,€50.00m,30.06.2031
Cole Palmer,eng ENG,RW,22-104,"Sunday August 18, 2024",0,2,0.1,0.1,0.1,0.1,5,47,47,47,6,6,1,1,13,7,0.1,0.1,0.2,4,41,5,0,5,37,37,37,1,1,0,24,1,33.3,2,4,3,3,44,3,0,5,0,,€120.00m,30.06.2033
Enzo Fernandez,ar ARG,"AM,DM",23-214,"Sunday August 18, 2024",0,3,0.2,0.2,0.0,0.0,3,56,56,56,4,4,0,0,18,8,0.0,0.0,0.1,7,53,3,0,2,47,47,47,0,0,0,21,6,,0,0,2,2,58,5,0,2,1,100.0,€75.00m,30.06.2032
Romeo Lavia,be BEL,DM,20-225,"Sunday August 18, 2024",0,0,0.0,0.0,0.5,0.5,1,39,39,39,2,2,0,0,22,1,0.5,0.5,0.2,3,39,0,0,0,38,38,38,0,1,0,13,0,,0,0,0,1,31,1,1,0,1,100.0,€40.00m,30.06.2030
Kiernan DewsburyHall,eng ENG,AM,25-347,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,0,17,17,17,0,0,0,0,3,0,0.0,0.0,0.0,2,17,0,0,0,13,13,13,0,0,0,7,0,,0,0,0,0,16,0,0,0,0,,€20.00m,30.06.2030
Moises Caicedo,ec ECU,DM,22-290,"Sunday August 18, 2024",0,1,0.0,0.0,0.0,0.0,1,53,53,53,3,3,1,1,15,1,0.0,0.0,0.1,1,52,0,2,1,47,47,47,1,0,0,21,0,100.0,0,0,1,0,47,0,2,1,0,,€90.00m,30.06.2031
Marc Cucurella,es ESP,LB,26-027,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,1,68,68,68,3,3,0,0,25,1,0.0,0.0,0.0,3,59,9,0,3,58,58,58,0,3,0,17,1,,0,0,0,0,51,1,0,3,0,0.0,€35.00m,30.06.2028
Renato Veiga,pt POR,LB,21-020,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,0,9,9,9,0,0,0,0,3,1,0.0,0.0,0.0,0,8,1,0,0,8,8,8,0,0,0,2,0,,0,0,0,0,5,0,1,0,0,0.0,€25.00m,30.06.2032
Levi Colwill,eng ENG,CB,21-174,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,1,48,48,48,2,2,0,0,32,3,0.0,0.0,0.0,4,46,2,0,0,47,47,47,0,4,0,1,0,,0,0,0,0,42,0,0,0,0,,€55.00m,30.06.2029
Wesley Fofana,fr FRA,CB,23-245,"Sunday August 18, 2024",0,1,0.0,0.0,0.0,0.0,0,56,56,56,1,1,0,0,28,2,0.0,0.0,0.0,4,56,0,0,0,49,49,49,0,3,0,2,1,,0,1,0,1,54,0,3,0,0,0.0,€25.00m,30.06.2029
Malo Gusto,fr FRA,RB,21-091,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,1,44,44,44,1,1,1,1,13,0,0.0,0.0,0.1,1,36,8,0,4,36,36,36,0,1,1,21,3,100.0,0,1,0,1,30,7,1,4,0,0.0,€35.00m,30.06.2030
Robert Sanchez,es ESP,GK,26-274,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,0,29,29,29,0,0,0,0,15,2,0.0,0.0,0.0,0,20,9,0,0,24,24,24,0,0,0,0,0,,0,0,0,0,15,0,0,0,0,,€1.00m,30.06.2027
Robert Sanchez,es ESP,GK,26-274,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,0,29,29,29,0,0,0,0,15,2,0.0,0.0,0.0,0,20,9,0,0,24,24,24,0,0,0,0,0,,0,0,0,0,15,0,0,0,0,,€20.00m,30.06.2030
Erling Haaland,no NOR,FW,24-028,"Sunday August 18, 2024",1,2,0.3,0.3,0.0,0.0,1,8,8,8,2,2,1,1,1,0,0.0,0.0,0.0,1,8,0,0,0,3,3,3,0,1,0,9,2,100.0,0,0,1,3,13,1,2,0,2,100.0,€180.00m,30.06.2034
Savio,br BRA,"RW,LW",20-130,"Sunday August 18, 2024",0,0,0.0,0.0,0.2,0.2,6,16,16,16,2,2,3,3,4,0,0.2,0.2,0.2,1,16,0,1,2,12,12,12,0,0,0,12,2,100.0,0,3,2,0,14,5,1,2,0,0.0,€50.00m,30.06.2029
Phil Foden,eng ENG,RW,24-082,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,0,28,28,28,1,1,0,0,10,0,0.0,0.0,0.0,1,28,0,0,0,24,24,24,0,1,0,16,0,,0,1,0,0,28,2,0,0,1,100.0,€100.00m,30.06.2027
Jeremy Doku,be BEL,"LW,RW",22-083,"Sunday August 18, 2024",0,2,0.1,0.1,0.0,0.0,2,36,36,36,4,4,6,6,7,1,0.0,0.0,0.1,0,36,0,1,4,28,28,28,0,0,0,43,8,40.0,3,14,3,2,39,13,1,4,0,,€50.00m,30.06.2028
Kevin De Bruyne,be BEL,CM,33-051,"Sunday August 18, 2024",0,2,0.1,0.1,0.0,0.0,1,58,58,58,5,5,1,1,15,3,0.0,0.0,0.3,4,48,10,0,4,46,46,46,0,0,0,32,1,50.0,0,4,1,1,47,2,1,4,1,50.0,€20.00m,30.06.2027
Bernardo Silva,pt POR,CM,30-008,"Sunday August 18, 2024",0,2,0.1,0.1,0.3,0.3,3,55,55,55,5,5,0,0,18,1,0.3,0.3,0.2,3,51,3,0,1,51,51,51,1,2,0,27,6,0.0,1,2,0,1,50,3,2,1,0,,€38.00m,30.06.2026
Mateo Kovacic,hr CRO,DM,30-104,"Sunday August 18, 2024",1,2,0.1,0.1,0.0,0.0,2,66,66,66,3,3,2,2,34,0,0.0,0.0,0.0,6,63,3,0,0,63,63,63,0,2,0,13,0,50.0,2,5,0,3,63,1,0,0,0,,€20.00m,30.06.2027
Rico Lewis,eng ENG,DM,19-271,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,1,50,50,50,2,2,1,1,13,0,0.0,0.0,0.0,4,40,10,0,0,38,38,38,0,2,0,11,4,33.3,2,0,0,2,36,5,0,0,0,0.0,€40.00m,30.06.2028
Josko Gvardiol,hr CRO,LB,22-208,"Sunday August 18, 2024",0,1,0.0,0.0,0.0,0.0,3,69,69,69,5,5,1,1,29,6,0.0,0.0,0.0,3,64,5,0,0,64,64,64,0,5,0,11,1,100.0,0,2,0,0,56,0,0,0,0,,€75.00m,30.06.2028
Ruben Dias,pt POR,CB,27-096,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,0,71,71,71,0,0,0,0,31,6,0.0,0.0,0.0,0,66,5,0,0,69,69,69,0,2,0,0,0,,0,0,0,0,63,0,0,0,1,100.0,€65.00m,30.06.2029
Manuel Akanji,ch SUI,RB,29-030,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,0,74,74,74,3,3,0,0,31,4,0.0,0.0,0.0,5,74,0,0,0,70,70,70,0,3,0,4,0,,0,0,1,0,60,0,2,0,0,,€28.00m,30.06.2027
Ederson,br BRA,GK,31-001,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,0,39,39,39,0,0,0,0,23,6,0.0,0.0,0.0,1,34,5,0,0,33,33,33,0,0,0,0,0,,0,0,0,0,27,0,0,0,0,,€20.00m,30.06.2026
Ederson,br BRA,GK,31-001,"Sunday August 18, 2024",0,0,0.0,0.0,0.0,0.0,0,39,39,39,0,0,0,0,23,6,0.0,0.0,0.0,1,34,5,0,0,33,33,33,0,0,0,0,0,,0,0,0,0,27,0,0,0,0,,€50.00m,30.06.2027
Jamie Vardy,eng ENG,FW,37-221,"Monday August 19, 2024",1,2,0.8,0.8,0.0,0.0,0,10,10,10,1,1,0,0,2,0,0.0,0.0,0.0,0,7,2,0,0,4,4,4,1,1,0,7,3,,0,1,2,1,12,3,0,0,2,66.7,,
Stephy Mavididi,eng ENG,FW,26-080,"Monday August 19, 2024",0,0,0.0,0.0,0.0,0.0,2,3,3,3,2,2,1,1,1,0,0.0,0.0,0.1,0,3,0,0,0,2,2,2,0,0,0,2,0,33.3,2,0,1,1,4,0,1,0,0,0.0,,
Bobby De CordovaReid,jm JAM,LW,31-199,"Monday August 19, 2024",0,1,0.1,0.1,0.0,0.0,1,24,24,24,0,0,0,0,4,0,0.0,0.0,0.0,0,24,0,0,1,15,15,15,0,3,0,8,1,,0,0,0,4,22,4,2,1,0,0.0,,
Kasey McAteer,ie IRL,LW,22-271,"Monday August 19, 2024",0,1,0.0,0.0,0.0,0.0,0,4,4,4,0,0,0,0,0,0,0.0,0.0,0.0,1,4,0,0,0,2,2,2,0,2,0,1,1,,0,0,0,0,3,1,0,0,1,100.0,,
Abdul Fatawu Issahaku,gh GHA,RW,20-164,"Monday August 19, 2024",0,0,0.0,0.0,0.5,0.5,3,25,25,25,2,2,3,3,5,4,0.5,0.5,0.6,2,23,2,1,4,18,18,18,0,5,0,16,1,37.5,3,2,6,1,27,7,2,4,1,100.0,,
Facundo Buonanotte,ar ARG,AM,19-240,"Monday August 19, 2024",0,0,0.0,0.0,0.4,0.4,2,25,25,25,5,5,1,1,5,1,0.4,0.4,0.2,2,21,4,1,3,20,20,20,0,0,0,13,0,25.0,2,1,3,1,20,2,0,3,0,0.0,€20.00m,30.06.2028
Boubakary Soumare,fr FRA,AM,25-174,"Monday August 19, 2024",0,0,0.0,0.0,0.0,0.0,0,3,3,3,0,0,0,0,1,0,0.0,0.0,0.0,0,3,0,0,0,3,3,3,0,0,0,1,0,,0,0,1,0,2,0,0,0,1,100.0,,
Wilfred Ndidi,ng NGA,DM,27-247,"Monday August 19, 2024",0,2,0.1,0.1,0.0,0.0,1,35,35,35,2,2,1,1,9,1,0.0,0.0,0.0,1,34,1,0,0,27,27,27,0,3,0,6,3,50.0,1,1,0,2,30,2,1,0,1,100.0,,
Harry Winks,eng ENG,DM,28-199,"Monday August 19, 2024",0,0,0.0,0.0,0.0,0.0,1,41,41,41,6,6,1,1,13,1,0.0,0.0,0.0,4,34,7,0,3,34,34,34,0,0,0,4,0,100.0,0,0,0,0,24,0,1,3,0,,,
Victor Bernth Kristiansen,dk DEN,LB,21-247,"Monday August 19, 2024",0,0,0.0,0.0,0.0,0.0,2,36,36,36,2,2,0,0,12,3,0.0,0.0,0.0,1,24,12,0,2,28,28,28,0,6,0,6,0,0.0,1,0,1,2,27,4,1,2,1,33.3,,
Wout Faes,be BEL,CB,26-138,"Monday August 19, 2024",0,0,0.0,0.0,0.0,0.0,1,30,30,30,0,0,0,0,11,1,0.0,0.0,0.0,1,27,3,1,0,27,27,27,0,6,0,0,0,,0,0,0,1,21,0,2,0,0,0.0,,
Jannik Vestergaard,dk DEN,CB,32-016,"Monday August 19, 2024",0,0,0.0,0.0,0.0,0.0,0,16,16,16,2,2,0,0,6,0,0.0,0.0,0.0,2,16,0,0,0,15,15,15,0,8,0,0,0,,0,0,0,0,12,0,1,0,1,100.0,,
James Justin,eng ENG,RB,26-178,"Monday August 19, 2024",0,1,0.1,0.1,0.0,0.0,0,33,33,33,1,1,0,0,13,2,0.0,0.0,0.0,5,31,2,0,2,28,28,28,0,8,0,9,1,,0,0,0,1,19,0,0,2,0,0.0,,
Mads Hermansen,dk DEN,GK,24-039,"Monday August 19, 2024",0,0,0.0,0.0,0.0,0.0,0,28,28,28,0,0,0,0,9,3,0.0,0.0,0.0,1,21,6,0,0,14,14,14,1,0,0,0,0,,0,0,0,0,12,0,0,0,0,,€15.00m,30.06.2030
Dominic Solanke,eng ENG,FW,26-340,"Monday August 19, 2024",0,3,0.3,0.3,0.1,0.1,1,19,19,19,1,1,3,3,2,0,0.1,0.1,0.2,0,17,2,1,0,15,15,15,0,0,0,17,8,100.0,0,1,3,1,24,5,0,0,1,50.0,€40.00m,30.06.2030
Son Heungmin,kr KOR,"LW,LM",32-042,"Monday August 19, 2024",0,1,0.0,0.0,0.1,0.1,5,52,52,52,5,5,4,4,18,0,0.1,0.1,0.3,2,50,2,0,3,43,43,43,0,1,0,43,10,66.7,2,0,1,1,50,22,0,3,1,100.0,,
Richarlison,br BRA,LM,27-101,"Monday August 19, 2024",0,1,0.2,0.2,0.0,0.0,0,5,5,5,0,0,0,0,0,0,0.0,0.0,0.0,0,5,0,0,0,3,3,3,0,1,0,1,1,,0,0,0,0,5,0,0,0,0,,€20.00m,30.06.2027
Brennan Johnson,wls WAL,RW,23-088,"Monday August 19, 2024",0,2,0.1,0.1,0.2,0.2,1,29,29,29,1,1,0,0,7,0,0.2,0.2,0.1,1,28,1,0,2,21,21,21,0,0,0,27,7,0.0,1,0,4,0,30,10,1,2,1,50.0,€40.00m,30.06.2028
Timo Werner,de GER,RM,28-166,"Monday August 19, 2024",0,0,0.0,0.0,0.0,0.0,0,19,19,19,1,1,0,0,4,0,0.0,0.0,0.0,1,17,2,0,2,14,14,14,0,0,0,14,2,0.0,1,2,0,0,18,6,0,2,0,,€7.00m,30.06.2026
James Maddison,eng ENG,LM,27-270,"Monday August 19, 2024",0,1,0.0,0.0,0.2,0.2,8,71,71,71,15,15,2,2,23,5,0.2,0.2,1.0,10,55,16,1,11,55,55,55,0,2,0,45,7,100.0,0,2,2,1,57,6,1,11,1,100.0,€42.00m,30.06.2028
Dejan Kulusevski,se SWE,CM,24-116,"Monday August 19, 2024",0,0,0.0,0.0,0.0,0.0,2,9,9,9,1,1,0,0,1,0,0.0,0.0,0.2,0,9,0,0,1,7,7,7,0,1,0,14,9,0.0,1,1,0,3,10,4,1,1,0,0.0,€50.00m,30.06.2028
Rodrigo Bentancur,uy URU,CM,27-055,"Monday August 19, 2024",0,3,0.3,0.3,0.0,0.0,3,47,47,47,4,4,0,0,25,2,0.0,0.0,0.0,4,44,3,0,0,46,46,46,0,0,0,12,3,0.0,1,0,0,2,42,2,2,0,1,33.3,€30.00m,30.06.2026
Archie Gray,eng ENG,DM,18-160,"Monday August 19, 2024",0,0,0.0,0.0,0.0,0.0,0,21,21,21,2,2,0,0,3,1,0.0,0.0,0.0,1,21,0,0,0,18,18,18,0,1,0,5,0,,0,0,0,1,18,1,1,0,0,,€38.00m,30.06.2030
Pape Matar Sarr,sn SEN,RM,21-340,"Monday August 19, 2024",0,1,0.0,0.0,0.1,0.1,1,48,48,48,8,8,0,0,12,6,0.1,0.1,0.0,8,47,1,0,1,42,42,42,0,0,0,19,2,,0,2,2,0,43,5,0,1,0,,€32.00m,30.06.2030
Lucas Bergvall,se SWE,CM,18-199,"Monday August 19, 2024",0,1,0.1,0.1,0.2,0.2,1,29,29,29,2,2,2,2,7,2,0.2,0.2,0.1,1,26,3,0,2,27,27,27,0,0,0,19,1,66.7,1,0,1,1,24,1,0,2,0,,€38.00m,30.06.2031
Destiny Udogie,it ITA,LB,21-265,"Monday August 19, 2024",0,0,0.0,0.0,0.0,0.0,0,71,71,71,7,7,0,0,16,3,0.0,0.0,0.1,8,64,6,0,1,61,61,61,1,1,0,26,4,0.0,2,1,0,1,59,5,4,1,0,0.0,€40.00m,30.06.2030
Micky van de Ven,nl NED,CB,23-122,"Monday August 19, 2024",0,0,0.0,0.0,0.0,0.0,2,96,96,96,5,5,0,0,52,9,0.0,0.0,0.0,9,95,1,0,0,90,90,90,0,3,0,3,0,,0,3,1,0,87,0,0,0,1,100.0,€50.00m,30.06.2029
Cristian Romero,ar ARG,CB,26-114,"Monday August 19, 2024",0,1,0.1,0.1,0.0,0.0,1,97,97,97,9,9,0,0,54,6,0.0,0.0,0.0,11,91,6,0,1,89,89,89,0,3,0,1,1,,0,0,0,0,76,0,0,1,3,60.0,€100k,30.06.2026
Cristian Romero,ar ARG,CB,26-114,"Monday August 19, 2024",0,1,0.1,0.1,0.0,0.0,1,97,97,97,9,9,0,0,54,6,0.0,0.0,0.0,11,91,6,0,1,89,89,89,0,3,0,1,1,,0,0,0,0,76,0,0,1,3,60.0,€50.00m,30.06.2029
Pedro Porro,es ESP,RB,24-341,"Monday August 19, 2024",1,1,0.1,0.1,0.2,0.2,5,57,57,57,6,6,0,0,20,2,0.2,0.2,0.3,2,50,7,0,4,49,49,49,0,2,0,41,3,0.0,1,1,0,0,44,2,2,4,0,,€38.00m,30.06.2028
Djed Spence,eng ENG,RB,24-010,"Monday August 19, 2024",0,0,0.0,0.0,0.0,0.0,0,9,9,9,2,2,1,1,3,0,0.0,0.0,0.0,1,9,0,0,0,9,9,9,0,0,0,4,0,50.0,1,0,0,0,8,0,0,0,0,,€20.00m,30.06.2029
Guglielmo Vicario,it ITA,GK,27-317,"Monday August 19, 2024",0,0,0.0,0.0,0.0,0.0,0,45,45,45,0,0,1,1,27,0,0.0,0.0,0.0,0,43,2,0,0,42,42,42,0,1,0,0,0,100.0,0,0,0,0,32,0,0,0,0,,€32.00m,30.06.2028
Danny Welbeck,eng ENG,FW,33-272,"Saturday August 24, 2024",1,3,1.1,1.1,0.1,0.1,4,18,18,18,1,1,0,0,5,0,0.1,0.1,0.0,0,16,2,0,0,15,15,15,0,0,0,9,4,,0,1,1,0,16,5,0,0,1,100.0,€5.00m,30.06.2026
Julio Enciso,py PAR,AM,20-214,"Saturday August 24, 2024",0,1,0.0,0.0,0.0,0.0,1,8,8,8,0,0,1,1,0,1,0.0,0.0,0.0,0,6,2,0,4,4,4,4,0,0,0,8,1,50.0,1,0,1,0,6,2,0,4,0,,€22.00m,30.06.2026
Kaoru Mitoma,jp JPN,LW,27-096,"Saturday August 24, 2024",0,0,0.0,0.0,0.8,0.8,1,16,16,16,1,1,1,1,3,0,0.8,0.8,0.6,0,16,0,0,1,13,13,13,0,0,0,15,3,50.0,1,1,0,0,16,5,1,1,0,,€40.00m,30.06.2027
Simon Adingra,ci CIV,LW,22-236,"Saturday August 24, 2024",0,1,0.1,0.1,0.5,0.5,2,4,4,4,0,0,0,0,1,0,0.5,0.5,0.6,0,4,0,0,0,3,3,3,0,0,0,8,2,0.0,1,0,1,0,7,3,0,0,1,100.0,€28.00m,30.06.2030
Yankuba Minteh,gm GAM,RW,20-033,"Saturday August 24, 2024",0,2,0.1,0.1,0.4,0.4,2,27,27,27,3,3,1,1,7,0,0.4,0.4,0.2,0,25,2,0,3,13,13,13,0,1,0,29,12,16.7,5,2,3,0,25,11,2,3,2,66.7,€30.00m,30.06.2029
Georginio Rutter,fr FRA,RW,22-126,"Saturday August 24, 2024",0,0,0.0,0.0,0.0,0.0,1,3,3,3,2,2,1,1,1,0,0.0,0.0,0.0,1,3,0,0,0,3,3,3,0,0,0,2,0,100.0,0,0,1,0,4,0,0,0,0,,€32.00m,30.06.2028
Joao Pedro,br BRA,"AM,FW",22-333,"Saturday August 24, 2024",1,3,0.5,0.5,0.1,0.1,4,24,24,24,6,6,1,1,6,3,0.1,0.1,0.1,4,23,1,0,1,19,19,19,0,0,0,19,3,20.0,4,2,3,5,31,5,0,1,1,100.0,€50.00m,30.06.2033
Billy Gilmour,sct SCO,DM,23-074,"Saturday August 24, 2024",0,1,0.1,0.1,0.0,0.0,3,55,55,55,10,10,1,1,17,4,0.0,0.0,0.0,11,53,2,0,1,48,48,48,0,1,0,11,0,50.0,1,0,0,0,47,1,2,1,0,,€20.00m,30.06.2029
Yasin Ayari,se SWE,DM,20-323,"Saturday August 24, 2024",0,1,0.0,0.0,0.0,0.0,1,4,4,4,2,2,0,0,1,0,0.0,0.0,0.0,1,4,0,0,0,3,3,3,0,0,0,2,1,,0,0,1,0,3,0,0,0,0,,€22.00m,30.06.2027
James Milner,eng ENG,DM,38-233,"Saturday August 24, 2024",0,2,0.2,0.2,0.0,0.0,3,31,31,31,5,5,1,1,10,1,0.0,0.0,0.0,2,29,2,2,1,23,23,23,0,2,0,13,2,100.0,0,1,0,0,29,6,1,1,0,,€1.00m,30.06.2026
Carlos Baleba,cm CMR,DM,20-234,"Saturday August 24, 2024",0,0,0.0,0.0,0.0,0.0,0,8,8,8,0,0,1,1,2,0,0.0,0.0,0.0,1,8,0,0,0,8,8,8,0,0,0,2,0,100.0,0,0,0,0,6,0,0,0,0,,€40.00m,30.06.2028
Jack Hinshelwood,eng ENG,LB,19-135,"Saturday August 24, 2024",0,0,0.0,0.0,0.0,0.0,2,48,48,48,3,3,1,1,18,4,0.0,0.0,0.2,3,40,8,0,0,39,39,39,0,0,0,14,2,100.0,0,2,1,0,33,5,0,0,0,0.0,€24.00m,30.06.2028
Lewis Dunk,eng ENG,CB,32-277,"Saturday August 24, 2024",0,0,0.0,0.0,0.0,0.0,1,79,79,79,4,4,0,0,29,7,0.0,0.0,0.0,4,68,11,0,0,76,76,76,0,2,0,1,0,0.0,1,0,0,0,63,0,0,0,1,50.0,€6.00m,30.06.2026
Jan Paul van Hecke,nl NED,CB,24-077,"Saturday August 24, 2024",0,0,0.0,0.0,0.0,0.0,0,86,86,86,6,6,1,1,43,3,0.0,0.0,0.0,2,86,0,0,0,76,76,76,0,2,0,2,2,100.0,0,1,0,0,75,0,2,0,1,50.0,€32.00m,30.06.2027
Joel Veltman,nl NED,RB,32-222,"Saturday August 24, 2024",0,0,0.0,0.0,0.1,0.1,2,53,53,53,3,3,0,0,23,3,0.1,0.1,0.5,5,39,14,0,1,47,47,47,0,2,0,11,1,,0,2,0,0,35,3,1,1,1,33.3,€4.00m,30.06.2026
Jason Steele,eng ENG,GK,34-006,"Saturday August 24, 2024",0,0,0.0,0.0,0.0,0.0,0,50,50,50,0,0,0,0,22,14,0.0,0.0,0.0,0,46,4,0,0,45,45,45,0,1,0,0,0,,0,0,0,0,37,0,0,0,0,,€1.50m,30.06.2026
