Jugador,Nacionalidad,Posicion,Edad,Dia_partido,Goles,Tiros Totales,xG,npxG,xAG,xAG,Acciones_que_crean_tiros,Pases_intentados,Pases_intentados,Pases_intentados,Pases_progresivos,Pases_progresivos,Regates_exitosos,Regates_exitosos,Pases_medios_completados,Pases_largos_completados,xAG,xAG,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_completados,Pases_completados,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,%_de_regates_exitosos,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Centros,Duelos_aereos_ganados,%_de_duelos_aereos_ganados,market_value,contract_date
Harvey Barnes,eng ENG,LW,26-252,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,0,2,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0,2,0,0,0,1,1,1,0,0,0,2,0,0.0,1,1,2,0,2,1,1,0,0,,€35.00m,30.06.2028
Jacob Murphy,eng ENG,RW,29-175,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,1,7,7,7,3,3,0,0,2,1,0.0,0.0,0.0,1,7,0,0,0,6,6,6,0,0,0,4,0,0.0,1,1,1,0,5,0,1,0,0,,€16.00m,30.06.2027
Emil Krafth,se SWE,CB,30-015,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,0,3,3,3,0,0,0,0,0,0,0.0,0.0,0.0,0,2,1,0,0,2,2,2,0,6,0,2,2,,0,0,0,1,2,0,0,0,1,50.0,€2.00m,30.06.2026
Joelinton,br BRA,LM,28-003,"Saturday August 17, 2024",1,2,0.2,0.2,0.0,0.0,0,17,17,17,2,2,0,0,2,0,0.0,0.0,0.0,1,16,0,0,0,10,10,10,1,6,0,8,3,0.0,1,0,2,0,20,0,4,0,4,80.0,€35.00m,30.06.2028
Bruno Guimaraes,br BRA,CM,26-275,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,0,28,28,28,1,1,0,0,5,2,0.0,0.0,0.0,2,21,7,0,3,18,18,18,0,3,0,7,0,,0,1,0,3,18,0,2,3,0,,€80.00m,30.06.2028
Sean Longstaff,eng ENG,RM,26-292,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,0,15,15,15,2,2,0,0,5,0,0.0,0.0,0.0,0,15,0,0,0,11,11,11,0,1,0,6,2,,0,1,0,1,10,3,0,0,0,0.0,€20.00m,30.06.2029
Lewis Hall,eng ENG,LB,19-344,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,1,30,30,30,3,3,0,0,4,1,0.0,0.0,0.0,0,22,8,0,5,17,17,17,0,4,0,10,1,0.0,1,0,1,1,15,1,2,5,0,,€32.00m,-
Lloyd Kelly,eng ENG,LB,25-316,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,0,2,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0,1,1,0,0,1,1,1,0,2,0,0,0,,0,0,0,0,1,0,0,0,0,,€16.00m,30.06.2029
Dan Burn,eng ENG,CB,32-100,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,0,18,18,18,0,0,0,0,6,1,0.0,0.0,0.0,0,17,1,0,0,13,13,13,0,10,0,1,0,,0,0,1,0,10,0,3,0,1,33.3,€6.00m,30.06.2027
Fabian Schar,ch SUI,CB,32-241,"Saturday August 17, 2024",0,1,0.0,0.0,0.0,0.0,0,11,11,11,1,1,0,0,3,1,0.0,0.0,0.0,1,10,1,0,0,9,9,9,0,1,0,3,1,,0,0,0,0,9,2,2,0,0,,€7.00m,30.06.2026
Valentino Livramento,eng ENG,RB,21-279,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,0,20,20,20,0,0,0,0,3,1,0.0,0.0,0.0,0,14,6,0,1,11,11,11,0,3,0,8,0,,0,0,0,1,9,2,0,1,1,25.0,€40.00m,30.06.2028
Nick Pope,eng ENG,GK,32-120,"Saturday August 17, 2024",0,0,0.0,0.0,0.0,0.0,0,26,26,26,0,0,0,0,2,8,0.0,0.0,0.0,1,13,13,0,0,10,10,10,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,,€8.00m,30.06.2026
Ben Brereton,cl CHI,FW,25-121,"Saturday August 17, 2024",0,2,0.3,0.3,0.1,0.1,1,26,26,26,0,0,0,0,7,0,0.1,0.1,0.0,1,26,0,0,1,20,20,20,0,1,0,18,4,0.0,1,3,0,1,23,6,0,1,3,100.0,,
Cameron Archer,eng ENG,FW,23-027,"Saturday August 17, 2024",0,2,0.2,0.2,0.0,0.0,0,4,4,4,0,0,0,0,0,0,0.0,0.0,0.0,0,4,0,0,1,2,2,2,0,0,0,5,3,,0,0,1,0,4,2,0,1,0,,,
